,precision,recall,f1-score,support
Account/Subscription,0.14285714285714285,1.0,0.25,2.0
Billing,0.0,0.0,0.0,5.0
Customer Sdervice,0.0,0.0,0.0,1.0
Customer Service,0.0,0.0,0.0,10.0
Login,0.06060606060606061,0.07692307692307693,0.06779661016949153,26.0
Other,0.046511627906976744,0.25,0.0784313725490196,8.0
Payment/Billing,0.0,0.0,0.0,1.0
Performance/Latency,0.0,0.0,0.0,2.0
Product Defect,0.6486486486486487,0.12307692307692308,0.20689655172413793,195.0
accuracy,0.12,0.12,0.12,0.12
macro avg,0.09984705333542543,0.1611111111111111,0.06701383716029434,250.0
weighted avg,0.5148802054848567,0.12,0.17293996172402334,250.0
